71173,1439331958,24
61994,1439181543,1
65171,1439232343,b884add88d83dc564ab8e0e02cbdb63919aea844,22
66099,1439248593,cb495d8e4f272a89123f91beab031ba380e2cc34,23
62007,1439181834,a748fac76b1d857e2f77484a0f816463e8b56edc
64094,1439215115,1c
63484,1439205290,4705e331214f54ee19677a920beb64e5206fd610,16
63415,1439204122,28795f5139935918a4176c80b01d32549e2819,15
71117,1439331070,a04f46f1e328bf2f564313be73e6a77fe870e535,25
62669,1439192401,fc39be41094b1997d2169e8264c2c3baa6c99bc4,9
62359,1439187406,2d11763b4999fb3b61ca8d19c8c77a743079f7bd,3
63117,1439199420,87ef6d8b6a7cbf9b5c8c97f67ee2adc2a73b3f77,13
64026,1439214092,cce611cd2bfdc3260099b99b71ccfbe4a06d8b7d,19
63004,1439197438,707e0b3205d90e717a6b1171816f3c36d18c2d63,12
62509,1439189993,a
62053,1439182770,af1ef6df77a840d59d6093f025a60c3d6bc7d5c8,1
63947,1439212820,475351efe1d9cf36276ff2b7ae1d38bdb072e22c,17
71692,1439340142,36d85dc3683156e63bf880a9fab7788cf8143a27,28
62661,1439192273,6b925dd5d8ed6132ab6d0860b82c44e1a51f1fee,8
63988,1439213568,dc5f5ad663a6f263327d64cac9cb133d2c960597,18
64311,1439218657,bb7735934f8229f1fc2e76f7afd82e14aa1e8e81,21
62426,1439188511,25c6e74ff1d928df98137af4df8430df24f07cd7,4
71169,1439331889,de32aa8b1fc4e7565006809b8929e4e2ceae817a,26
62563,1439190805,b70dba9391682b4a364e77fe99256301a6c0bf1f,7
63156,1439200095,15
80224,1439482186,378ea1dc8edc19bae82638029ea8752ce98bcfcd,29
71112,1439330945,f661e21b71a9ca331e251e51a412857d2b61d8f8,24
62562,1439190789,d9e6086071980fe3484b6baaba07a10b47b046a6,6
62737,1439193531,c151a0473225ae2768cf864f30ef38ac4b36c06c,10
62102,1439183348,6